"Nombre de la cuenta";"Sector";"Tipo";"Propietario de la cuenta";"Fecha de la última modificación"
"TOTAL ELECTRICOS";"OEMS";"Customer";"JHOAN ORTIZ";"8/04/2024"
"Quontrol";"OEMS";"Integrator";"JHOAN ORTIZ";"7/06/2024"
"FAMSER SAS";"OEMS";"Customer";"LIZETH MARTINEZ";"28/01/2025"
"EQUIRODMO";"OEMS";"Customer";"LIZETH MARTINEZ";"28/01/2025"
"TEPPACK";"OEMS";"Customer";"LIZETH MARTINEZ";"28/01/2025"
"FLUIMOS";"OEMS";"Integrator";"JHOAN ORTIZ";"8/04/2024"
"SODEMAQ";"OEMS";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"WESTON SAS";"OEMS";"Customer";"MELISSA PEREZ";"21/08/2025"
"ELECAV";"OEMS";"Customer";"JHOAN ORTIZ";"8/04/2024"
"MECANIZADOS JL - ACEMAQ";"OEMS";"Customer";"JHOAN ORTIZ";"8/04/2024"
"PROCESS TECHNOLOGY Y CIA LTDA";"OEMS";"Integrator";"LIZETH MARTINEZ";"9/04/2024"
"LATIN PROYECTOS INGENIERIA SAS";"OEMS";"Customer";"HERNAN ROLDAN";"26/08/2025"
"OGA SISTEM VAC";"OEMS";"Customer";"JHOAN ORTIZ";"5/04/2024"
"SHU CANAMCO";"OEMS";"Other";"JHOAN ORTIZ";"8/04/2024"
"MOFFATT S.A.S";"OEMS";"Customer";"LIZETH MARTINEZ";"28/01/2025"
"SYNERGY PACK";"OEMS";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"PROYECTOS DE ENERGIA ELECTRICA Y CONTROL";"OEMS";"Customer";"Juan Garzón Linares";"13/08/2025"
"MECHANICAL TOOLING";"OEMS";"Customer";"Juan Garzón Linares";"8/04/2024"
"PS&E S.A.S.";"OEMS";"Customer";"JHOAN ORTIZ";"5/04/2024"
