NOMBRE_TERCERO,VALOR_BRUTO
ECOLAVADOS S.A.S,1997000
INGENIEROS ELECTRICISTAS & ASOCIADOS UNIELEC LTDA,1980500
BASCULAS Y BALANZAS DE LA COSTA LTDA,1957000
TIVAT COLOMBIA SAS,1950000
MUTUAL INGENIERIA S.A.S BIC,1914900
COMPAÑIA DE DISTRIBUCION FERRETERA SAS,1850000
SEEL SA,1809900
CORIOLIS  SOLUCIONES S.A.S,1736900
A&CI SAS,1673000
TECHNO SKILLS ENGINEERING SERVICES SAS,1656700
BANCO DE LA REPUBLICA,1530100
AUTOMATION ETERNAL SAS,1494000
INDUSTRIAS ELECTRICAS HELOIM S.A.S,1404000
"INGENIERIA, MANTENIMIENTO Y SERVICIOS ORIENTALES SAS",1369000
SERVICIOS TECNICOS DE INSTRUMENTACION CONTROL Y MOTORES ELECTRICOS SAS,1282000
SOLUCIONES INTEGRALES DE ESTERILIZACION SAS,1175500
HEVEQUI GENERAL BUSINESS S.A.S,1071600
CONCRET TECNOLOGIA APLICADA CONCRETA S.A.S,1010900
POINTER INSTRUMENT SERVICES S.A.S,1005000
PEGATEX ARTECOLA S.A.S,1000000
EQUIPOS FARMACEUTICOS LER SAS,886300
TERMOPLAST MECANIZADOS LTDA,883000
BASCULAS Y BALANZAS IBAGUE S.A.S.,731000
ALIMENTOS SAS  S.A.S,650000
SEIC SERVICIOS ESPECIALIZADOS DE INGENIERIA Y CONSULTORIA S.A.S,583400
SEI INGENIERIA - SOLUCIONES ELECTRICAS INDUSTRIALES E.U. ,448000
PRODUCCIONES GENERALES S.A,444500
BOMBA FOODS SAS ,443100
